0.000000e+00,-1.376382e+06,-9.040155e+05,-8.592228e+05,1.223377e+03,-8.418703e+02,-8.001568e+02,1.000000e+03,0.000000e+00,0.000000e+00,0.000000e+00,
2.234954e+00,-1.373649e+06,-9.058926e+05,-8.610069e+05,1.222156e+03,-8.378782e+02,-7.963524e+02,9.986086e+02,-1.597531e+03,1.092602e+03,1.043003e+03,
2.674133e+01,-1.343871e+06,-9.258882e+05,-8.800102e+05,1.207782e+03,-7.939538e+02,-7.544935e+02,9.833523e+02,-1.628874e+03,1.068118e+03,1.019625e+03,
5.154719e+01,-1.314111e+06,-9.450290e+05,-8.981982e+05,1.191347e+03,-7.492530e+02,-7.118963e+02,9.679096e+02,-1.660977e+03,1.041930e+03,9.946243e+02,
7.554419e+01,-1.285731e+06,-9.624882e+05,-9.147854e+05,1.173590e+03,-7.058405e+02,-6.705285e+02,9.529704e+02,-1.692384e+03,1.015141e+03,9.690538e+02,
9.908443e+01,-1.258327e+06,-9.786015e+05,-9.300912e+05,1.154346e+03,-6.631532e+02,-6.298531e+02,9.383156e+02,-1.723513e+03,9.873555e+02,9.425359e+02,
1.220560e+02,-1.232043e+06,-9.933563e+05,-9.441037e+05,1.133780e+03,-6.214610e+02,-5.901273e+02,9.240147e+02,-1.754176e+03,9.586798e+02,9.151729e+02,
1.444869e+02,-1.206853e+06,-1.006840e+06,-9.569059e+05,1.111952e+03,-5.807762e+02,-5.513627e+02,9.100505e+02,-1.784367e+03,9.290625e+02,8.869155e+02,
1.663665e+02,-1.182772e+06,-1.019114e+06,-9.685565e+05,1.088962e+03,-5.411766e+02,-5.136333e+02,8.964295e+02,-1.814025e+03,8.984997e+02,8.577601e+02,
1.876985e+02,-1.159796e+06,-1.030247e+06,-9.791221e+05,1.064896e+03,-5.027104e+02,-4.769848e+02,8.831494e+02,-1.843105e+03,8.669708e+02,8.276873e+02,
